id,md:MetaData,md:MetaData/md:citation,md:MetaData/md:citation/md:author,md:MetaData/md:citation/md:author/md:lastName,md:MetaData/md:citation/md:author/md:firstName,md:MetaData/md:citation/md:author/md:eMail,md:MetaData/md:citation/md:author/md:orcid,md:MetaData/md:citation/md:year,md:MetaData/md:citation/md:title,md:MetaData/md:citation/md:URI,md:MetaData/md:citation/md:dateTime,md:MetaData/md:citation/md:supplementTo,md:MetaData/md:citation/md:supplementTo/md:author,md:MetaData/md:citation/md:supplementTo/md:author/md:lastName,md:MetaData/md:citation/md:supplementTo/md:author/md:firstName,md:MetaData/md:citation/md:supplementTo/md:author/md:eMail,md:MetaData/md:citation/md:supplementTo/md:author/md:orcid,md:MetaData/md:citation/md:supplementTo/md:year,md:MetaData/md:citation/md:supplementTo/md:title,md:MetaData/md:citation/md:supplementTo/md:source,md:MetaData/md:citation/md:supplementTo/md:volume,md:MetaData/md:citation/md:supplementTo/md:URI,md:MetaData/md:citation/md:supplementTo/md:pages,md:MetaData/md:abstract,md:MetaData/md:extent/md:geographic/md:westBoundLongitude,md:MetaData/md:extent/md:geographic/md:eastBoundLongitude,md:MetaData/md:extent/md:geographic/md:southBoundLatitude,md:MetaData/md:extent/md:geographic/md:northBoundLatitude,md:MetaData/md:extent/md:geographic/md:meanLongitude,md:MetaData/md:extent/md:geographic/md:meanLatitude,md:MetaData/md:extent/md:temporal/md:minDateTime,md:MetaData/md:extent/md:temporal/md:maxDateTime,md:MetaData/md:extent/md:topoType,md:MetaData/md:project,md:MetaData/md:project/md:label,md:MetaData/md:project/md:name,md:MetaData/md:event,md:MetaData/md:event/md:label,md:MetaData/md:event/md:latitude,md:MetaData/md:event/md:longitude,md:MetaData/md:event/md:elevation,md:MetaData/md:event/md:attribute,md:MetaData/md:event/md:location,md:MetaData/md:event/md:location/md:name,md:MetaData/md:event/md:device,md:MetaData/md:event/md:device/md:name,md:MetaData/md:event/md:device/md:optionalName,md:MetaData/md:event/md:optionalLabel,md:MetaData/md:event/md:dateTime,md:MetaData/md:event/md:campaign,md:MetaData/md:event/md:campaign/md:name,md:MetaData/md:event/md:campaign/md:optionalName,md:MetaData/md:event/md:campaign/md:URI,md:MetaData/md:event/md:campaign/md:attribute,md:MetaData/md:event/md:basis,md:MetaData/md:event/md:basis/md:name,md:MetaData/md:event/md:basis/md:URI,md:MetaData/md:event/md:comment,md:MetaData/md:size,md:MetaData/md:license,md:MetaData/md:license/md:label,md:MetaData/md:license/md:name,md:MetaData/md:license/md:URI,md:MetaData/md:additionalSearchableContent,md:MetaData/md:keywords/md:techKeyword,md:MetaData/md:technicalInfo/md:entry,md:MetaData/md:comment,md:MetaData/md:citation/md:author/md:URI,md:MetaData/md:citation/md:supplementTo/md:author/md:URI,md:MetaData/md:project/md:URI,md:MetaData/md:event/md:URI,md:MetaData/md:event/md:device/md:URI,md:MetaData/md:keywords/md:keyword,md:MetaData/md:citation/md:source,md:MetaData/md:reference,md:MetaData/md:reference/md:author,md:MetaData/md:reference/md:author/md:lastName,md:MetaData/md:reference/md:author/md:firstName,md:MetaData/md:reference/md:author/md:eMail,md:MetaData/md:reference/md:year,md:MetaData/md:reference/md:title,md:MetaData/md:reference/md:source,md:MetaData/md:reference/md:volume,md:MetaData/md:reference/md:URI,md:MetaData/md:reference/md:pages,md:MetaData/md:event/md:latitude2,md:MetaData/md:event/md:longitude2,md:MetaData/md:event/md:dateTime2,md:MetaData/md:project/md:award,md:MetaData/md:project/md:award/md:funder,md:MetaData/md:project/md:award/md:funder/md:name,md:MetaData/md:project/md:award/md:funder/md:optionalName,md:MetaData/md:project/md:award/md:funder/md:URI,md:MetaData/md:project/md:award/md:number,md:MetaData/md:project/md:award/md:URI,md:MetaData/md:reference/md:author/md:URI,md:MetaData/md:event/md:location/md:URI,md:MetaData/md:reference/md:author/md:orcid,md:MetaData/md:event/md:elevation2,date
oai:pangaea.de:doi:10.1594/PANGAEA.484066,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2006-07-13T13:25:34
oai:pangaea.de:doi:10.1594/PANGAEA.484677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2005-05-11T15:45:07
oai:pangaea.de:doi:10.1594/PANGAEA.485006,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-07-22T18:03:22
oai:pangaea.de:doi:10.1594/PANGAEA.509841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-08-14T18:18:08
oai:pangaea.de:doi:10.1594/PANGAEA.510729,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-08-29T11:22:08
oai:pangaea.de:doi:10.1594/PANGAEA.510744,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T12:28:51
oai:pangaea.de:doi:10.1594/PANGAEA.510745,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T13:07:14
oai:pangaea.de:doi:10.1594/PANGAEA.510746,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T13:10:12
oai:pangaea.de:doi:10.1594/PANGAEA.510747,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T12:50:02
oai:pangaea.de:doi:10.1594/PANGAEA.510748,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T12:28:14
oai:pangaea.de:doi:10.1594/PANGAEA.510749,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T12:27:15
oai:pangaea.de:doi:10.1594/PANGAEA.510750,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998-01-15T12:38:38
oai:pangaea.de:doi:10.1594/PANGAEA.510751,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-08-30T08:29:37
oai:pangaea.de:doi:10.1594/PANGAEA.510752,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-08-30T08:33:25
oai:pangaea.de:doi:10.1594/PANGAEA.510753,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-08-30T08:38:39
oai:pangaea.de:doi:10.1594/PANGAEA.510754,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-04-16T13:38:35
oai:pangaea.de:doi:10.1594/PANGAEA.510755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-08-30T09:10:44
oai:pangaea.de:doi:10.1594/PANGAEA.510756,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-08-30T09:19:43
oai:pangaea.de:doi:10.1594/PANGAEA.510757,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000-08-30T09:21:00
oai:pangaea.de:doi:10.1594/PANGAEA.510758,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-08-30T09:27:20
oai:pangaea.de:doi:10.1594/PANGAEA.510759,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-03-16T14:31:27
oai:pangaea.de:doi:10.1594/PANGAEA.510760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-08-30T10:14:39
oai:pangaea.de:doi:10.1594/PANGAEA.510761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-04-27T11:50:52
oai:pangaea.de:doi:10.1594/PANGAEA.510762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-08-30T10:20:33
oai:pangaea.de:doi:10.1594/PANGAEA.510763,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-04-27T12:27:02
oai:pangaea.de:doi:10.1594/PANGAEA.510764,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-04-27T13:43:57
oai:pangaea.de:doi:10.1594/PANGAEA.510765,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-04-21T16:17:41
oai:pangaea.de:doi:10.1594/PANGAEA.510766,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-04-21T16:36:01
oai:pangaea.de:doi:10.1594/PANGAEA.510767,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-08-30T12:12:08
oai:pangaea.de:doi:10.1594/PANGAEA.510768,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-04-22T16:09:58
oai:pangaea.de:doi:10.1594/PANGAEA.510769,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-08-30T12:15:34
oai:pangaea.de:doi:10.1594/PANGAEA.510770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001-08-30T12:17:01
