id,qdc:qualifieddc,qdc:qualifieddc/dc:title,qdc:qualifieddc/dc:creator,qdc:qualifieddc/dc:subject,qdc:qualifieddc/dc:description,qdc:qualifieddc/dc:date,qdc:qualifieddc/dc:type,qdc:qualifieddc/dc:identifier,qdc:qualifieddc/dc:relation,qdc:qualifieddc/dc:rights,qdc:qualifieddc/dcterms:hasPart,qdc:qualifieddc/dcterms:hasVersion,date
oai:figshare.com:article/8153183,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:58:27Z
oai:figshare.com:article/8153174,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:58:26Z
oai:figshare.com:article/8153177,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:58:26Z
oai:figshare.com:article/8153180,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:58:26Z
oai:figshare.com:article/8153168,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:56:10Z
oai:figshare.com:article/8153171,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:55Z
oai:figshare.com:article/8153165,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:54Z
oai:figshare.com:article/8153162,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:18Z
oai:figshare.com:article/8153159,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:17Z
oai:figshare.com:article/8153150,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:17Z
oai:figshare.com:article/8153153,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:17Z
oai:figshare.com:article/8153156,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:17Z
oai:figshare.com:article/8153147,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:16Z
oai:figshare.com:article/8153144,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:52:16Z
oai:figshare.com:article/8153138,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:51:44Z
oai:figshare.com:article/6796802,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:49:04Z
oai:figshare.com:article/8153132,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:41:35Z
oai:figshare.com:article/8153048,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:37:32Z
oai:figshare.com:article/8153135,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:37:26Z
oai:figshare.com:article/8075864,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:38Z
oai:figshare.com:article/8153126,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:13Z
oai:figshare.com:article/8153123,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:12Z
oai:figshare.com:article/8153120,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:11Z
oai:figshare.com:article/8153117,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:10Z
oai:figshare.com:article/8153114,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:09Z
oai:figshare.com:article/8153111,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:36:08Z
oai:figshare.com:article/8075843,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:35:53Z
oai:figshare.com:article/8075831,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:35:13Z
oai:figshare.com:article/8153102,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:35:00Z
oai:figshare.com:article/8153099,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:34:59Z
oai:figshare.com:article/8075792,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:33:58Z
oai:figshare.com:article/8063387,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:32:39Z
oai:figshare.com:article/8063318,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:31:59Z
oai:figshare.com:article/8138441,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:58Z
oai:figshare.com:article/8153081,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:57Z
oai:figshare.com:article/8153078,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:56Z
oai:figshare.com:article/8153075,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:55Z
oai:figshare.com:article/8153072,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:54Z
oai:figshare.com:article/8153069,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:53Z
oai:figshare.com:article/8153066,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:52Z
oai:figshare.com:article/8153063,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T12:31:51Z
oai:figshare.com:article/8063312,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:31:12Z
oai:figshare.com:article/8153054,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:26:26Z
oai:figshare.com:article/8153051,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:23:58Z
oai:figshare.com:article/8153045,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:14:17Z
oai:figshare.com:article/8153039,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:08:19Z
oai:figshare.com:article/8153036,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:03:19Z
oai:figshare.com:article/8153030,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T12:00:30Z
oai:figshare.com:article/8153033,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:59:25Z
oai:figshare.com:article/8153018,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:51:45Z
oai:figshare.com:article/8153015,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:51:44Z
oai:figshare.com:article/8153012,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:51:43Z
oai:figshare.com:article/8153009,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:51:42Z
oai:figshare.com:article/8153003,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:41:55Z
oai:figshare.com:article/8152985,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:33:19Z
oai:figshare.com:article/7728353,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:33:11Z
oai:figshare.com:article/5929240,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:30:23Z
oai:figshare.com:article/5923372,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:30:22Z
oai:figshare.com:article/8143676,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:30:19Z
oai:figshare.com:article/8152970,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:23:30Z
oai:figshare.com:article/8152973,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:23:30Z
oai:figshare.com:article/8152976,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:23:30Z
oai:figshare.com:article/7970078,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T11:13:23Z
oai:figshare.com:article/8152967,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:10:49Z
oai:figshare.com:article/8152964,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:10:48Z
oai:figshare.com:article/8152961,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:10:03Z
oai:figshare.com:article/8152949,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:06:31Z
oai:figshare.com:article/8152955,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T11:05:41Z
oai:figshare.com:article/8152937,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:59:17Z
oai:figshare.com:article/8152934,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T10:58:21Z
oai:figshare.com:article/8152931,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T10:58:20Z
oai:figshare.com:article/7737731,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737740,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737737,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737734,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737746,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737743,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737749,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:28Z
oai:figshare.com:article/7737725,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:27Z
oai:figshare.com:article/7737728,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:27Z
oai:figshare.com:article/7737713,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:27Z
oai:figshare.com:article/7737722,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:27Z
oai:figshare.com:article/7737719,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:27Z
oai:figshare.com:article/7737716,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:27Z
oai:figshare.com:article/7737707,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:26Z
oai:figshare.com:article/7737704,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:26Z
oai:figshare.com:article/7737710,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:26Z
oai:figshare.com:article/7737701,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:25Z
oai:figshare.com:article/7737695,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:25Z
oai:figshare.com:article/7737698,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:25Z
oai:figshare.com:article/7737686,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:24Z
oai:figshare.com:article/7737692,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:24Z
oai:figshare.com:article/7737689,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:24Z
oai:figshare.com:article/7737680,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:23Z
