id,resource,resource/identifier,resource/creators/creator/creatorName,resource/creators/creator/nameIdentifier,resource/titles/title,resource/publisher,resource/publicationYear,resource/subjects/subject,resource/dates/date,resource/language,resource/resourceType,resource/relatedIdentifiers/relatedIdentifier,resource/sizes/size,resource/formats/format,resource/rightsList/rights,resource/descriptions/description,resource/geoLocations/geoLocation/geoLocationBox,resource/contributors/contributor,resource/contributors/contributor/contributorName,resource/descriptions/description/br,resource/geoLocations/geoLocation/geoLocationPoint,date
oai:pangaea.de:doi:10.1594/PANGAEA.510769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510771,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510837,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.525770,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.526941,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.527976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.536199,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547755,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547786,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547981,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.547983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2008
oai:pangaea.de:doi:10.1594/PANGAEA.547989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.548021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.548070,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2003
oai:pangaea.de:doi:10.1594/PANGAEA.548396,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.548400,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.548404,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1971
oai:pangaea.de:doi:10.1594/PANGAEA.548408,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1971
oai:pangaea.de:doi:10.1594/PANGAEA.548409,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1971
oai:pangaea.de:doi:10.1594/PANGAEA.548410,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.548411,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.548412,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.548413,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.548414,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.548415,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.548416,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.548417,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.548418,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.548419,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.548420,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1974
oai:pangaea.de:doi:10.1594/PANGAEA.548421,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1974
oai:pangaea.de:doi:10.1594/PANGAEA.548422,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1974
oai:pangaea.de:doi:10.1594/PANGAEA.548423,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1974
oai:pangaea.de:doi:10.1594/PANGAEA.548424,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1975
oai:pangaea.de:doi:10.1594/PANGAEA.548425,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1975
oai:pangaea.de:doi:10.1594/PANGAEA.548426,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1975
oai:pangaea.de:doi:10.1594/PANGAEA.548427,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1975
oai:pangaea.de:doi:10.1594/PANGAEA.548428,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1975
oai:pangaea.de:doi:10.1594/PANGAEA.548430,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1976
oai:pangaea.de:doi:10.1594/PANGAEA.548432,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1977
oai:pangaea.de:doi:10.1594/PANGAEA.548433,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1976
oai:pangaea.de:doi:10.1594/PANGAEA.548463,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1978
oai:pangaea.de:doi:10.1594/PANGAEA.548464,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1978
oai:pangaea.de:doi:10.1594/PANGAEA.548465,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1979
oai:pangaea.de:doi:10.1594/PANGAEA.548466,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1979
oai:pangaea.de:doi:10.1594/PANGAEA.548467,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1980
oai:pangaea.de:doi:10.1594/PANGAEA.548469,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1980
oai:pangaea.de:doi:10.1594/PANGAEA.548470,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1980
oai:pangaea.de:doi:10.1594/PANGAEA.548471,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1981
oai:pangaea.de:doi:10.1594/PANGAEA.548484,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1981
oai:pangaea.de:doi:10.1594/PANGAEA.548485,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1982
oai:pangaea.de:doi:10.1594/PANGAEA.548486,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1983
oai:pangaea.de:doi:10.1594/PANGAEA.548487,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1983
oai:pangaea.de:doi:10.1594/PANGAEA.548488,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1984
oai:pangaea.de:doi:10.1594/PANGAEA.548489,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1984
