id,resource,resource/identifier,resource/alternateIdentifiers/alternateIdentifier,resource/relatedIdentifiers/relatedIdentifier,resource/titles/title,resource/rights,resource/creators/creator/creatorName,resource/descriptions/description,resource/subjects/subject,resource/resourceType,resource/publicationYear,resource/publisher,resource/dates/date,resource/creators/creator/nameIdentifier,date
oai:figshare.com:article/8153147,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153144,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153138,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/6796802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019
oai:figshare.com:article/8153132,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153048,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153135,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8075864,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153126,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153123,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153120,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153117,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153114,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153111,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8075843,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8075831,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153102,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153099,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8075792,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8063387,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8063318,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8138441,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153081,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153078,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153075,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153072,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153069,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153066,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153063,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8063312,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153054,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153051,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153045,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153039,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153036,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153030,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153033,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153018,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153015,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153012,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153009,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8153003,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152985,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7728353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019
oai:figshare.com:article/5929240,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/5923372,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8143676,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152970,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152973,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152976,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7970078,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152967,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152964,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152961,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152949,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2019
oai:figshare.com:article/8152955,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152937,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152934,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/8152931,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737731,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737740,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737737,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737734,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737746,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737743,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737749,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737725,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737728,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737713,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
