id,oai_dc:dc,oai_dc:dc/dc:title,oai_dc:dc/dc:publisher,oai_dc:dc/dc:identifier,oai_dc:dc/dc:source,oai_dc:dc/dc:description,oai_dc:dc/dc:type,oai_dc:dc/dc:creator,oai_dc:dc/dc:date,oai_dc:dc/dc:language,oai_dc:dc/dc:format,oai_dc:dc/dc:subject,oai_dc:dc/dc:coverage,date
7699d7ee-bcc2-4c67-b0b6-a82d8db4575b,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
80beb144-b111-4f16-9e71-f759ea7006a2,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
53c94997-8758-4261-91d9-ac9f4ebe73d2,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
2c57ccb3-b64d-4005-8a17-5cb6094bf131,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f0c7a46c-42f3-48c5-8c7d-d39da269d9df,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
453c03ec-f64f-4475-9550-f57e34d2e266,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
bc689683-8dd5-442e-90a6-adbb7221aad6,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
5882d26c-95d0-4b67-87d4-6e91cfdbf789,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c92ad4f3-1985-414c-b0eb-b18cc3679ed2,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
2be13edb-468c-4397-aa8b-845a3ba71a52,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
8287097d-cec6-4103-b23e-fb5374b1ee06,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
34e5d258-a1bc-49c6-8c25-56609a300015,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-13
933de798-383e-46d7-ac1c-2607a36d7f10,1,1,1,1,1,0,1,0,0,1,1,0,0,2019-05-16T13:25:43Z_header
081304be-3a8b-436d-a9b4-185b6cdda870,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
c888f0dc-e34f-4c5f-a634-d69c320ada4c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
3733ef1e-8696-44f1-99d7-d473c509608c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c695c731-b08c-477d-a807-4081f4c2a9f3,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
93d412c8-defe-4417-a5a4-f0b978d55e3f,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4cb8165d-2c33-442f-b948-ff038cf149e1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
a069bd52-2bf8-45ee-98b7-2a6d1fcf5cac,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
cd2abe34-b1ec-44ad-8c31-a7689817db77,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
3ebee944-1e6e-45d8-bba7-986581409c12,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
80d29977-724b-431e-9a98-5eaf7a8c3651,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
6d6ea0e4-8a8e-49c0-9853-a378a06dba74,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
33a05386-c01c-41fd-9855-3695876e2458,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4c9c5163-7fce-43f3-be05-c64780788e96,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
6a60a6f0-097b-4db7-b6e4-eef760e397c9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
89c53edb-0fac-4118-bdc0-d70ca50953dc,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-05-16
8c3d903d-6d82-45d1-a1c0-b29f5b97d0c1,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
81e87d37-68e3-49cf-b900-943aaef6398e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d5ce5b6c-1740-4063-8636-f3db97a0aa13,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9db4515c-7f05-4cd4-b281-7b45861fe49c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
243e4f17-37dc-46b5-bfd5-5cc6f3dc8499,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d28aa153-6814-48c1-91c2-f9a39788825e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
e12b1516-6759-4f52-96ac-208050b51a4b,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
269321d2-8c60-4be5-b879-b516f39f62b9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
a0c45123-9373-4b1b-adc9-bf6a4796bc23,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
63f1a4ba-4554-4116-a5c2-e14623e9a4f9,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-14
20c6f816-bec3-4494-bd4c-78327477c5bd,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
144e58f0-262b-424f-92c9-530765de0575,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
aa3222d7-fc9d-4e99-9d2e-b3ea21dafed7,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-14
8243728a-c19a-4471-8974-249ffc938c29,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-14
1945ba02-8dff-402c-a5bb-fd400a98b332,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
af3aacd7-3b96-4295-86f4-f899ce00cbb1,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
6ffbbdb0-5acc-4333-a3f1-50129a629849,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9d6bc827-8352-4088-b617-402e63b41a68,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
056548c2-7356-451c-8100-adc191b6081a,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f5b155f4-c251-4daf-b267-322b95115f91,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
943ac4e5-eee2-409e-a058-eb76866f102a,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
924564d3-af90-47f9-8759-1e82331f6d50,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
b2e1df95-f553-4f99-af3c-c3c89fac1234,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
bd6e23e7-437f-4343-aba9-9e19f15fb5e1,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
2844b319-2329-4c41-9513-dec46d91dc35,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c9099bac-616c-44bf-8319-0b9b1f589121,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-13
165f88fc-4163-4ef8-a515-67326e7282d0,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-13
02a1dc1e-5f74-40e6-8f7b-24f96874124e,1,1,1,1,1,1,1,1,1,1,1,0,0,1912-01-01
6b2683a5-feba-4f06-b47e-866b43e51a46,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
defb7e7d-732b-482d-bdab-df7e14fd2663,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
36ebc3e6-df1e-4993-a8c8-6b4cc679e888,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
45b5a7e8-c2b0-491c-93e9-e62ab286ba6d,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
5567712b-2d25-4128-bc28-b84823b3a3ad,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f66172d5-c21d-4a42-b3de-c33fea3234f5,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
b5902a9d-c38b-462f-ad8a-95693c1822dc,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
8c88621c-037e-4d69-b09b-3975da3289d1,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
81d67a96-5e13-4b58-80ea-7d6e52f70917,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
dcbb64d9-cac5-4c86-9cf9-248c8f42efa2,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4e3767fc-4dc1-4a69-8090-63f9e81cd545,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
82b2e911-9636-47e1-ba1b-e8ab3fb93f9e,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-13
79d4728e-4ad9-4be2-aca7-5897e201ba35,1,1,1,1,1,1,1,1,1,1,1,0,0,2013-01-01
2dc54d17-6a79-425d-a1e3-82dc0b607dfb,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
f18fc494-4700-4c2a-ab27-16ecabed7806,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
12464931-e8ea-4437-b6df-c280e063b107,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-14
0a2eaf0c-5504-4f48-a47f-c94229029dc8,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-02
36094b2b-bd50-4c6d-af52-264a155fc76f,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-10
ef3bacd0-faf7-452c-9461-da9684fe662f,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-10
cb2db64a-2fde-423c-982f-3d9d8978fff2,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d38e8ddc-d3e2-4a0b-9aab-9b7587400244,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
0fd46fac-1a3c-4bb7-ab7a-6b4e66fa72bb,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
730140ef-5dc1-4ec8-832b-67ec459ff30d,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
7a6e3698-f6a7-4c53-9e45-4f0e9c2c9eaf,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
0986a097-6033-4eb5-b807-5aad00c01867,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d264c0ae-c46c-4e33-81ae-ab0d225c3534,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
546532ec-56f2-4ec3-b6fb-54fb61b59632,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
7a36859e-2b95-4aed-b54b-86c5a1cbc2f3,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
ccbb854c-979b-40ea-bd51-64cf20307fb0,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
72a42bf2-29dc-429e-8062-40c03837722e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
fdc2c477-30f9-460a-97d1-09f9ba92502a,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
e27c1a28-901e-4fcf-896b-bf3e3e066518,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
1dee649a-fcfa-444b-883e-c60c8da1cc9c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
52591806-a684-4ab8-baec-88937c2bd640,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
e9120c09-b5ee-49a2-9ee4-4f51b2d5f1e5,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
b83fa02b-b303-4799-856d-b4dbe1160a93,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
03ecf810-0d3e-4498-8bcb-18a9d0ee18a1,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
600dc0f4-cbf1-4092-bc5f-682ce9fdf782,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
7f611dcc-fe4f-4519-82bc-3e07166017d6,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-09
7b11366b-e966-4b74-b414-0313bdf358fe,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-09
243bb217-84a5-43d5-adca-af481ab6ab8f,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-09
