id,rdf:RDF,rdf:RDF/ow:Publication,rdf:RDF/ow:Publication/dc:creator,rdf:RDF/ow:Publication/dc:date,rdf:RDF/ow:Publication/dc:identifier,rdf:RDF/ow:Publication/dc:description,rdf:RDF/ow:Publication/dc:language,rdf:RDF/ow:Publication/dc:relation,rdf:RDF/ow:Publication/dc:title,rdf:RDF/ow:Publication/dc:type,rdf:RDF/ow:Publication/dc:contributor,rdf:RDF/ow:Publication/dc:source,rdf:RDF/ow:Publication/dc:rights,rdf:RDF/ow:Publication/dc:publisher,rdf:RDF/ow:Publication/dc:coverage,rdf:RDF/ow:Publication/dc:subject,date
oai:secundus.datadryad.org:10255/dryad.59,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2008-01-28T19:20:34Z
oai:secundus.datadryad.org:10255/dryad.60,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-01-28T19:21:09Z
oai:secundus.datadryad.org:10255/dryad.62,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,2008-02-13T20:34:14Z
oai:secundus.datadryad.org:10255/dryad.61,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,2008-02-13T20:23:56Z
oai:secundus.datadryad.org:10255/dryad.64,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-02-22T14:33:47Z
oai:secundus.datadryad.org:10255/dryad.65,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-02-22T15:30:55Z
oai:secundus.datadryad.org:10255/dryad.66,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2008-02-22T16:09:44Z
oai:secundus.datadryad.org:10255/dryad.67,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-02-22T16:16:19Z
oai:secundus.datadryad.org:10255/dryad.68,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-02-25T16:11:20Z
oai:secundus.datadryad.org:10255/dryad.69,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,2008-02-27T14:29:12Z
oai:secundus.datadryad.org:10255/dryad.70,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,2008-02-27T15:05:52Z
oai:secundus.datadryad.org:10255/dryad.71,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:10:44Z
oai:secundus.datadryad.org:10255/dryad.72,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:12:36Z
oai:secundus.datadryad.org:10255/dryad.73,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:14:36Z
oai:secundus.datadryad.org:10255/dryad.74,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,2008-02-27T15:17:54Z
oai:secundus.datadryad.org:10255/dryad.75,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:19:37Z
oai:secundus.datadryad.org:10255/dryad.76,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:26:21Z
oai:secundus.datadryad.org:10255/dryad.77,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:49:05Z
oai:secundus.datadryad.org:10255/dryad.78,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:50:54Z
oai:secundus.datadryad.org:10255/dryad.79,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:53:07Z
oai:secundus.datadryad.org:10255/dryad.80,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T15:56:13Z
oai:secundus.datadryad.org:10255/dryad.81,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-27T16:05:43Z
oai:secundus.datadryad.org:10255/dryad.82,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2008-02-27T17:42:57Z
oai:secundus.datadryad.org:10255/dryad.83,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,2008-02-27T17:48:02Z
oai:secundus.datadryad.org:10255/dryad.84,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-29T16:04:31Z
oai:secundus.datadryad.org:10255/dryad.85,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-02-29T16:06:53Z
oai:secundus.datadryad.org:10255/dryad.86,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-03T14:38:28Z
oai:secundus.datadryad.org:10255/dryad.87,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-03T14:40:29Z
