id,atom:entry,atom:entry/atom:id,atom:entry/atom:link,atom:entry/atom:published,atom:entry/atom:updated,atom:entry/atom:source/atom:generator,atom:entry/atom:title,atom:entry/atom:author/atom:name,atom:entry/atom:category,atom:entry/oreatom:triples/rdf:Description,atom:entry/oreatom:triples/rdf:Description/rdf:type,atom:entry/oreatom:triples/rdf:Description/dcterms:modified,atom:entry/oreatom:triples/rdf:Description/dcterms:description,date
oai:secundus.datadryad.org:10255/dryad.62,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.342+00:00
oai:secundus.datadryad.org:10255/dryad.61,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.344+00:00
oai:secundus.datadryad.org:10255/dryad.64,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.348+00:00
oai:secundus.datadryad.org:10255/dryad.65,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.350+00:00
oai:secundus.datadryad.org:10255/dryad.66,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.355+00:00
oai:secundus.datadryad.org:10255/dryad.67,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.357+00:00
oai:secundus.datadryad.org:10255/dryad.68,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.361+00:00
oai:secundus.datadryad.org:10255/dryad.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.363+00:00
oai:secundus.datadryad.org:10255/dryad.70,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.366+00:00
oai:secundus.datadryad.org:10255/dryad.71,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.368+00:00
oai:secundus.datadryad.org:10255/dryad.72,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.374+00:00
oai:secundus.datadryad.org:10255/dryad.73,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.378+00:00
oai:secundus.datadryad.org:10255/dryad.74,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.382+00:00
oai:secundus.datadryad.org:10255/dryad.75,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.386+00:00
oai:secundus.datadryad.org:10255/dryad.76,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.389+00:00
oai:secundus.datadryad.org:10255/dryad.77,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.394+00:00
oai:secundus.datadryad.org:10255/dryad.78,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.397+00:00
oai:secundus.datadryad.org:10255/dryad.79,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.401+00:00
oai:secundus.datadryad.org:10255/dryad.80,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.405+00:00
oai:secundus.datadryad.org:10255/dryad.81,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.409+00:00
oai:secundus.datadryad.org:10255/dryad.82,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.413+00:00
oai:secundus.datadryad.org:10255/dryad.83,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.415+00:00
oai:secundus.datadryad.org:10255/dryad.84,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.418+00:00
oai:secundus.datadryad.org:10255/dryad.85,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.422+00:00
oai:secundus.datadryad.org:10255/dryad.86,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.426+00:00
